tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001.0,,118,"Comedy,Fantasy,Romance"
tt0062336,movie,The Tango of the Widower and Its Distorting Mirror,El tango del viudo y su espejo deformante,0,2020.0,,70,Drama
tt0068865,movie,Lives of Performers,Lives of Performers,0,2016.0,,90,Drama
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018.0,,122,Drama
tt0088751,movie,The Naked Monster,The Naked Monster,0,2005.0,,100,"Comedy,Horror,Sci-Fi"
tt0096056,movie,Crime and Punishment,Crime and Punishment,0,2002.0,,126,Drama
tt0100275,movie,The Wandering Soap Opera,La Telenovela Errante,0,2017.0,,80,"Comedy,Drama,Fantasy"
tt0103340,movie,Life for Life: Maximilian Kolbe,Zycie za zycie. Maksymilian Kolbe,0,2006.0,,90,"Biography,Drama"
tt0108549,movie,West from North Goes South,West from North Goes South,0,2004.0,,96,"Comedy,Mystery"
tt0113026,movie,The Fantasticks,The Fantasticks,0,2000.0,,86,"Musical,Romance"
tt0113092,movie,For the Cause,For the Cause,0,2000.0,,100,"Action,Adventure,Drama"
tt0114447,movie,The Silent Force,The Silent Force,0,2001.0,,90,Action
tt0115937,movie,Consequence,Consequence,0,2000.0,,91,Drama
tt0116391,movie,Gang,Gang,0,2000.0,,167,"Action,Crime,Drama"
tt0116628,movie,The Incorporated,The Incorporated,0,2000.0,,86,"Action,Thriller"
tt0116916,movie,The Lord Protector,The Lord Protector,0,2001.0,,101,"Action,Adventure,Fantasy"
tt0116991,movie,Mariette in Ecstasy,Mariette in Ecstasy,0,2009.0,,101,Drama
tt0117743,movie,Still Waters Burn,Still Waters Burn,0,2008.0,,83,"Drama,Romance"
tt0118141,movie,What Is It?,What Is It?,0,2005.0,,72,Drama
tt0118589,movie,Glitter,Glitter,0,2001.0,,104,"Drama,Music,Romance"
tt0118652,movie,The Attic Expeditions,The Attic Expeditions,0,2001.0,,100,"Comedy,Horror,Mystery"
tt0118694,movie,In the Mood for Love,Fa yeung nin wah,0,2000.0,,98,"Drama,Romance"
tt0118710,movie,Beyond the Pale,Beyond the Pale,0,2000.0,,96,Drama
tt0118852,movie,Chinese Coffee,Chinese Coffee,0,2000.0,,99,Drama
tt0118926,movie,The Dancer Upstairs,The Dancer Upstairs,0,2002.0,,132,"Crime,Drama,Thriller"
tt0119004,movie,Don's Plum,Don's Plum,0,2001.0,,89,"Comedy,Drama"
tt0119231,movie,The Junior Defenders,The Junior Defenders,0,2007.0,,83,Comedy
tt0119273,movie,Heavy Metal 2000,Heavy Metal 2000,0,2000.0,,88,"Action,Adventure,Animation"
tt0119495,movie,Love 101,Love 101,0,2000.0,,86,"Comedy,Drama,Romance"
tt0119806,movie,Nothing Sacred,Nothing Sacred,0,2000.0,,98,"Comedy,Romance"
tt0119966,movie,Pushing the Envelope,Pushing the Envelope,0,2000.0,,75,"Drama,Thriller"
tt0119970,movie,My Apocalypse,Quality Time,0,2008.0,,82,"Comedy,Drama,Sci-Fi"
tt0119980,movie,Random Shooting in L.A.,Random Shooting in L.A.,0,2002.0,,91,Drama
tt0120166,movie,The Sorcerer's Apprentice,The Sorcerer's Apprentice,0,2001.0,,86,"Adventure,Family,Fantasy"
tt0120202,movie,State and Main,State and Main,0,2000.0,,105,"Comedy,Drama"
tt0120263,movie,Songs from the Second Floor,Sånger från andra våningen,0,2000.0,,98,"Comedy,Drama"
tt0120467,movie,Vulgar,Vulgar,0,2000.0,,87,"Crime,Drama,Thriller"
tt0120607,movie,Between the Sheets,Between the Sheets,0,2003.0,,102,Comedy
tt0120624,movie,Camarate,Camarate,0,2001.0,,100,"Drama,History"
tt0120626,movie,April Captains,Capitães de Abril,0,2000.0,,123,"Drama,History,War"
tt0120630,movie,Chicken Run,Chicken Run,0,2000.0,,84,"Adventure,Animation,Comedy"
tt0120667,movie,Fantastic Four,Fantastic Four,0,2005.0,,106,"Action,Adventure,Fantasy"
tt0120673,movie,Foiled,Foiled,0,2000.0,,78,"Action,Drama,Sci-Fi"
tt0120679,movie,Frida,Frida,0,2002.0,,123,"Biography,Drama,Romance"
tt0120681,movie,From Hell,From Hell,0,2001.0,,122,"Horror,Mystery,Thriller"
tt0120698,movie,The Highwayman,The Highwayman,0,2000.0,,94,"Comedy,Drama,Thriller"
tt0120733,movie,Lion of Oz,Lion of Oz,0,2000.0,,74,"Animation,Family,Musical"
tt0120737,movie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,0,2001.0,,178,"Action,Adventure,Drama"
tt0120753,movie,The Million Dollar Hotel,The Million Dollar Hotel,0,2000.0,,122,"Drama,Mystery,Thriller"
tt0120755,movie,Mission: Impossible II,Mission: Impossible II,0,2000.0,,123,"Action,Adventure,Thriller"
tt0120804,movie,Resident Evil,Resident Evil,0,2002.0,,100,"Action,Horror,Sci-Fi"
tt0120807,movie,Ricochet River,Ricochet River,0,2001.0,,112,Drama
tt0120824,movie,The Shipping News,The Shipping News,0,2001.0,,111,Drama
tt0120903,movie,X-Men,X-Men,0,2000.0,,104,"Action,Adventure,Sci-Fi"
tt0120912,movie,Men in Black II,Men in Black II,0,2002.0,,88,"Action,Adventure,Comedy"
tt0120913,movie,Titan A.E.,Titan A.E.,0,2000.0,,94,"Action,Adventure,Animation"
tt0120917,movie,The Emperor's New Groove,The Emperor's New Groove,0,2000.0,,78,"Adventure,Animation,Comedy"
tt0121164,movie,Corpse Bride,Corpse Bride,0,2005.0,,77,"Animation,Drama,Family"
tt0121765,movie,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,0,2002.0,,142,"Action,Adventure,Fantasy"
tt0121766,movie,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,0,2005.0,,140,"Action,Adventure,Fantasy"
tt0122161,movie,Lured Innocence,Lured Innocence,0,2000.0,,99,"Drama,Thriller"
tt0122247,movie,Serial Killing 4 Dummys,Serial Killing 4 Dummys,0,2004.0,,89,"Comedy,Horror,Mystery"
tt0122459,movie,Return to Me,Return to Me,0,2000.0,,115,"Comedy,Drama,Romance"
tt0123003,movie,Bruno,Bruno,0,2000.0,,108,"Comedy,Drama"
tt0123055,movie,The Elf Who Didn't Believe,The Elf Who Didn't Believe,0,2000.0,,90,"Comedy,Family"
tt0123581,movie,Burning Down the House,Burning Down the House,0,2001.0,,84,Comedy
tt0124889,movie,Sticks,Sticks,0,2001.0,,92,"Comedy,Crime"
tt0125022,movie,Heartbreakers,Heartbreakers,0,2001.0,,123,"Comedy,Crime,Romance"
tt0126029,movie,Shrek,Shrek,0,2001.0,,90,"Adventure,Animation,Comedy"
tt0126899,movie,Eyes Are Upon You,Eyes Are Upon You,0,2001.0,,92,"Crime,Thriller"
tt0127349,movie,Waking the Dead,Waking the Dead,0,2000.0,,105,"Drama,Mystery,Romance"
tt0128158,movie,Deadfall,Deadfall,0,2000.0,,86,Horror
tt0128165,movie,Blazin',Blazin',0,2001.0,,100,"Action,Crime"
tt0128216,movie,Flophouse,Flophouse,0,2002.0,,75,Comedy
tt0130623,movie,Dinosaur,Dinosaur,0,2000.0,,82,"Adventure,Animation,Drama"
tt0131597,movie,Split,Split,0,2004.0,,700,"Action,Crime,Sci-Fi"
tt0131704,movie,The Adventures of Rocky & Bullwinkle,The Adventures of Rocky & Bullwinkle,0,2000.0,,92,"Adventure,Animation,Comedy"
tt0132078,movie,Dead by Monday,Dead by Monday,0,2001.0,,94,Comedy
tt0132245,movie,Driven,Driven,0,2001.0,,116,"Action,Drama,Sport"
tt0132885,movie,BlackMale,BlackMale,0,2000.0,,90,Thriller
tt0132910,movie,The Crow: Salvation,The Crow: Salvation,0,2000.0,,102,"Action,Crime,Fantasy"
tt0133063,movie,Lightmaker,Lightmaker,0,2001.0,,89,Fantasy
tt0133152,movie,Planet of the Apes,Planet of the Apes,0,2001.0,,119,"Action,Adventure,Sci-Fi"
tt0133240,movie,Treasure Planet,Treasure Planet,0,2002.0,,95,"Adventure,Animation,Family"
tt0133752,movie,Fallen Arches,Fallen Arches,0,2000.0,,100,"Crime,Drama,Thriller"
tt0134084,movie,Scream 3,Scream 3,0,2000.0,,116,"Horror,Mystery"
tt0134630,movie,Duets,Duets,0,2000.0,,112,"Comedy,Drama,Music"
tt0134847,movie,Pitch Black,Pitch Black,0,2000.0,,109,"Action,Horror,Sci-Fi"
tt0134983,movie,Supernova,Supernova,0,2000.0,,90,"Horror,Sci-Fi,Thriller"
